                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                 0.9224,                 1.4376,                 1.1093,                0.66466,                0.56235,                0.64754,                0.53064,                0.70801,                 1.2284,                0.99641,              6.238e-05,              6.238e-05,              6.238e-05
                    116,                0.95302,                 1.4254,                 1.1048,                 0.7305,                0.54946,                0.65375,                0.53113,                0.69471,                 1.2255,                 1.0025,              6.205e-05,              6.205e-05,              6.205e-05
                    117,                0.95468,                 1.4277,                 1.0935,                0.59535,                0.59389,                0.66738,                0.53928,                0.70953,                 1.2337,                 1.0049,              6.172e-05,              6.172e-05,              6.172e-05
                    118,                  0.965,                 1.4077,                 1.1148,                0.69276,                0.54047,                0.67927,                0.52908,                0.85852,                 1.2676,                  1.048,              6.139e-05,              6.139e-05,              6.139e-05
                    119,                0.96304,                 1.4261,                  1.095,                0.72233,                0.55068,                0.68619,                0.52231,                0.94373,                 1.2568,                 1.0822,              6.106e-05,              6.106e-05,              6.106e-05
                    120,                0.96642,                 1.5019,                 1.0963,                0.71927,                0.55844,                0.68963,                0.54702,                0.78982,                 1.1985,                 1.0254,              6.073e-05,              6.073e-05,              6.073e-05
                    121,                0.93613,                 1.4007,                 1.0981,                0.70591,                 0.5475,                0.67881,                0.55376,                0.72939,                 1.1966,                 1.0078,               6.04e-05,               6.04e-05,               6.04e-05
                    122,                0.93848,                 1.4535,                 1.1179,                0.71122,                  0.537,                0.68144,                 0.5541,                0.74086,                 1.2214,                 1.0099,              6.007e-05,              6.007e-05,              6.007e-05
                    123,                 0.9293,                 1.4165,                 1.0957,                0.54229,                0.62492,                0.66572,                0.51859,                0.88208,                  1.275,                 1.0583,              5.974e-05,              5.974e-05,              5.974e-05
                    124,                  0.937,                 1.4465,                 1.1121,                0.63899,                0.57357,                0.66951,                0.53806,                 0.8019,                 1.2267,                 1.0284,              5.941e-05,              5.941e-05,              5.941e-05
                    125,                0.90028,                  1.397,                 1.0895,                0.74924,                0.56924,                0.68137,                 0.5515,                0.77177,                 1.1817,                 1.0171,              5.908e-05,              5.908e-05,              5.908e-05
                    126,                0.92034,                 1.4173,                 1.0771,                0.70281,                0.58744,                0.67476,                0.54336,                0.79308,                 1.1788,                 1.0231,              5.875e-05,              5.875e-05,              5.875e-05
                    127,                0.94166,                 1.4639,                 1.0959,                0.74911,                 0.5475,                0.65433,                0.52003,                0.82642,                 1.2645,                 1.0353,              5.842e-05,              5.842e-05,              5.842e-05
                    128,                0.90472,                 1.4193,                 1.0893,                0.53219,                 0.5982,                0.62143,                0.49114,                 0.8456,                  1.418,                 1.0415,              5.809e-05,              5.809e-05,              5.809e-05
                    129,                0.90907,                  1.386,                  1.094,                0.53762,                0.59367,                0.61725,                0.49341,                0.80626,                  1.447,                 1.0263,              5.776e-05,              5.776e-05,              5.776e-05
                    130,                0.92583,                 1.3626,                 1.0905,                0.57262,                0.59207,                 0.6352,                0.51705,                 0.7629,                 1.3276,                 1.0091,              5.743e-05,              5.743e-05,              5.743e-05
                    131,                0.92119,                 1.3084,                 1.0732,                0.69978,                0.54922,                0.67847,                0.54105,                0.81913,                 1.2247,                 1.0273,               5.71e-05,               5.71e-05,               5.71e-05
                    132,                0.88214,                 1.4052,                 1.0645,                 0.7482,                0.55123,                0.69279,                0.52424,                0.94427,                 1.2203,                 1.0775,              5.677e-05,              5.677e-05,              5.677e-05
                    133,                0.94938,                  1.407,                 1.1123,                 0.6313,                 0.6657,                0.70785,                0.54815,                0.88266,                  1.193,                 1.0518,              5.644e-05,              5.644e-05,              5.644e-05
                    134,                0.90881,                 1.3708,                 1.0936,                0.69025,                0.64172,                0.71697,                0.59446,                0.67453,                 1.1301,                0.98595,              5.611e-05,              5.611e-05,              5.611e-05
                    135,                0.93307,                 1.4217,                 1.1024,                0.69872,                0.69157,                0.73758,                0.60434,                0.67685,                 1.0964,                0.98935,              5.578e-05,              5.578e-05,              5.578e-05
                    136,                0.90906,                 1.3819,                 1.0787,                 0.6857,                0.69207,                0.74055,                0.60466,                0.68554,                 1.0565,                0.98649,              5.545e-05,              5.545e-05,              5.545e-05
                    137,                0.86599,                 1.2828,                  1.065,                 0.6877,                0.67949,                0.74229,                 0.5947,                0.73289,                 1.0398,                0.99647,              5.512e-05,              5.512e-05,              5.512e-05
                    138,                0.89165,                 1.3115,                 1.0714,                0.67378,                0.65497,                0.73315,                 0.5783,                0.77469,                 1.0512,                 1.0095,              5.479e-05,              5.479e-05,              5.479e-05
                    139,                0.94182,                 1.3697,                 1.1002,                0.69661,                0.63567,                0.73307,                0.59572,                0.68823,                  1.038,                0.98372,              5.446e-05,              5.446e-05,              5.446e-05
                    140,                0.90249,                 1.2966,                 1.0923,                0.66109,                0.65165,                0.72389,                0.59343,                0.69376,                  1.068,                0.98638,              5.413e-05,              5.413e-05,              5.413e-05
                    141,                0.91839,                 1.3254,                 1.0796,                0.61249,                0.67365,                0.71929,                0.57317,                0.78493,                 1.1149,                 1.0113,               5.38e-05,               5.38e-05,               5.38e-05
                    142,                0.91719,                 1.3112,                 1.0718,                0.60754,                0.67218,                0.70355,                 0.5374,                0.88711,                 1.1684,                 1.0438,              5.347e-05,              5.347e-05,              5.347e-05
                    143,                0.89933,                 1.2767,                 1.0832,                0.66381,                0.67302,                 0.7182,                0.58041,                0.72258,                 1.1033,                0.98898,              5.314e-05,              5.314e-05,              5.314e-05
